name	grid	source_photo	confidence
Abe Ave.	E 7	2026-09-18 11.29.31.jpg	certain
Abbott Pl.	G 2	2026-09-18 11.29.31.jpg	certain
Abington	E 7	2026-09-18 11.29.31.jpg	certain
Acacia St.	H 11	2026-09-18 11.29.31.jpg	certain
Acton St.	K 9	2026-09-18 11.29.31.jpg	certain
Adair St.	I 17	2026-09-18 11.29.31.jpg	certain
Adams St.	F 16	2026-09-18 11.29.31.jpg	certain
Adelaide St.	P 16	2026-09-18 11.29.31.jpg	certain
Adobe St.	K 10	2026-09-18 11.29.31.jpg	certain
Adrian St.	E 7	2026-09-18 11.29.31.jpg	certain
Agate St.	P 7	2026-09-18 11.29.31.jpg	certain
Agatha St.	J 15	2026-09-18 11.29.31.jpg	certain
Agnes St.	H 8	2026-09-18 11.29.31.jpg	certain
Agricultural Ave.	D 19	2026-09-18 11.29.31.jpg	certain
Alameda St.	L 14	2026-09-18 11.29.31.jpg	certain
Alamo St.	M 18	2026-09-18 11.29.31.jpg	certain
Alba St.	K 23	2026-09-18 11.29.31.jpg	certain
Albany St.	G 13	2026-09-18 11.29.31.jpg	certain
Albertine St.	P 16	2026-09-18 11.29.31.jpg	certain
Albion St.	N 9	2026-09-18 11.29.31.jpg	certain
Alcazar St.	Q 11	2026-09-18 11.29.31.jpg	certain
Aldama St.	L 3	2026-09-18 11.29.31.jpg	certain
Alergo St.	F 19	2026-09-18 11.29.31.jpg	probable
Alessandro St.	H 1	2026-09-18 11.29.31.jpg	certain
Alhambra Ave.	G 9	2026-09-18 11.29.31.jpg	certain
Alice	M 5	2026-09-18 11.29.31.jpg	certain
Aliso	L 12	2026-09-18 11.29.31.jpg	certain
Allegheny Ave.	N 18	2026-09-18 11.29.31.jpg	certain
Allison St.	I 9	2026-09-18 11.29.31.jpg	certain
Alosta St.	N 18	2026-09-18 11.29.31.jpg	certain
Alpine	J 10	2026-09-18 11.29.31.jpg	certain
Alta St.	P 9	2026-09-18 11.29.31.jpg	certain
Altura St.	Q 8	2026-09-18 11.29.31.jpg	certain
Alvarado St.	F 13	2026-09-18 11.29.31.jpg	certain
Alvarado Tr.	E 14	2026-09-18 11.29.31.jpg	certain
Alvise St.	Q 4	2026-09-18 11.29.31.jpg	certain
Amabel St.	O 6	2026-09-18 11.29.31.jpg	certain
Amador St.	L 8	2026-09-18 11.29.31.jpg	certain
Amelia St.	L 13	2026-09-18 11.29.31.jpg	certain
Amey St.	D 15	2026-09-18 11.29.31.jpg	certain
Anderson St.	M 13	2026-09-18 11.29.31.jpg	certain
Andrew St.	O 7	2026-09-18 11.29.31.jpg	certain
Angelino	J 11	2026-09-18 11.29.31.jpg	certain
Angelica St.	H 8	2026-09-18 11.29.31.jpg	certain
Ann St.	L 10	2026-09-18 11.29.31.jpg	certain
Antonia Ave.	N 10	2026-09-18 11.29.31.jpg	certain
Avablaza St.	L 12	2026-09-18 11.29.31.jpg	probable
Aragon St.	N 6	2026-09-18 11.29.31.jpg	certain
Arrapahoe St.	E 13	2026-09-18 11.29.31.jpg	certain
Arcadia St.	A 12	2026-09-18 11.29.31.jpg	certain
Arlington St.	A 15	2026-09-18 11.29.31.jpg	uncertain
Arnold St.	H 10	2026-09-18 11.29.31.jpg	certain
Arroyo Seco Drive	M 4	2026-09-18 11.29.31.jpg	certain
Ash St.	L 3	2026-09-18 11.29.31.jpg	certain
Ashland Ave.	P 8	2026-09-18 11.29.31.jpg	certain
Atlantic St.	L 16	2026-09-18 11.29.31.jpg	uncertain
Aubrey St.	O 15	2026-09-18 11.29.31.jpg	certain
Augusta St.	L 11	2026-09-18 11.29.31.jpg	certain
Aurora St.	M 9	2026-09-18 11.29.31.jpg	certain
Austin St.	I 19	2026-09-18 11.29.31.jpg	certain
Avalon St.	J 7	2026-09-18 11.29.31.jpg	certain
Ave. 18	N 9	2026-09-18 11.29.42.jpg	certain
Ave. 19	N 9	2026-09-18 11.29.42.jpg	certain
Ave 20.	N 8	2026-09-18 11.29.42.jpg	probable
Ave. 21.	N 8	2026-09-18 11.29.42.jpg	probable
Ave. 22	N 8	2026-09-18 11.29.42.jpg	certain
Ave. 23	O 7	2026-09-18 11.29.42.jpg	certain
Ave. 24	O 7	2026-09-18 11.29.42.jpg	certain
Ave. 25	N 8	2026-09-18 11.29.42.jpg	certain
Ave. 26	N 8	2026-09-18 11.29.42.jpg	certain
Ave. 28	O 8	2026-09-18 11.29.42.jpg	certain
Ave 29	O 8	2026-09-18 11.29.42.jpg	certain
Ave. 31	O 7	2026-09-18 11.29.42.jpg	certain
Ave. 32	O 7	2026-09-18 11.29.42.jpg	certain
Ave. 33	P 7	2026-09-18 11.29.42.jpg	certain
Ave. 34	O 7	2026-09-18 11.29.42.jpg	certain
Ave. 35	O 7	2026-09-18 11.29.42.jpg	certain
Ave. 36	O 6	2026-09-18 11.29.42.jpg	certain
Ave. 37	P 6	2026-09-18 11.29.42.jpg	certain
Ave. 38	P 6	2026-09-18 11.29.42.jpg	certain
Ave 39	P 6	2026-09-18 11.29.42.jpg	certain
Ave. 40	P 6	2026-09-18 11.29.42.jpg	certain
Ave. 41	O 5	2026-09-18 11.29.42.jpg	probable
Ave. 42	P 6	2026-09-18 11.29.42.jpg	probable
Ave. 43	P 5	2026-09-18 11.29.42.jpg	probable
Ave. 44	P 5	2026-09-18 11.29.42.jpg	probable
Ave. 48	Q 4	2026-09-18 11.29.42.jpg	probable
Ave. 45	P 4	2026-09-18 11.29.42.jpg	probable
Ave. 49	Q 4	2026-09-18 11.29.42.jpg	probable
Ave. 50	P 3	2026-09-18 11.29.42.jpg	probable
Ave. 51	Q 3	2026-09-18 11.29.42.jpg	probable
Ave. 52	Q 3	2026-09-18 11.29.42.jpg	probable
Ave. 53	Q 3	2026-09-18 11.29.42.jpg	probable
Ave 54	Q 3	2026-09-18 11.29.42.jpg	probable
Ave. 55	R 3	2026-09-18 11.29.42.jpg	probable
Avenue 56	L 4	2026-09-18 11.29.42.jpg	certain
Ave. 57	L 4	2026-09-18 11.29.42.jpg	certain
Ave. 58	L 4	2026-09-18 11.29.42.jpg	certain
Ave. 59	L 4	2026-09-18 11.29.42.jpg	certain
Ave. 60	L 4	2026-09-18 11.29.42.jpg	certain
Ave. 61	L 4	2026-09-18 11.29.42.jpg	certain
Avenue 63	N 3	2026-09-18 11.29.42.jpg	certain
Avenue 64	N 3	2026-09-18 11.29.42.jpg	certain
Avenue 65	N 3	2026-09-18 11.29.42.jpg	certain
Avenue 66	N 3	2026-09-18 11.29.42.jpg	certain
Avery St.	L 14	2026-09-18 11.29.42.jpg	certain
Avila St.	L 12	2026-09-18 11.29.42.jpg	certain
Avon Ave.	J 6	2026-09-18 11.29.42.jpg	certain
Azusa St.	K 13	2026-09-18 11.29.42.jpg	certain
B St.	I 6	2026-09-18 11.29.51.jpg	certain
Bailey St.	O 12	2026-09-18 11.29.51.jpg	certain
Baker St.	M 9	2026-09-18 11.29.51.jpg	certain
Baldwin St.	O 9	2026-09-18 11.29.51.jpg	certain
Baltimore	L 3	2026-09-18 11.29.51.jpg	certain
Bandini St.	H 8	2026-09-18 11.29.51.jpg	certain
Banning St.	L 13	2026-09-18 11.29.51.jpg	certain
Barbee St.	P 10	2026-09-18 11.29.51.jpg	certain
Barlow St.	P 12	2026-09-18 11.29.51.jpg	certain
Barnard Park	G 16	2026-09-18 11.29.51.jpg	certain
Barranca St.	O 8	2026-09-18 11.29.51.jpg	certain
Baredon	M 17	2026-09-18 11.29.51.jpg	probable
Bartlett St.	J 10	2026-09-18 11.29.51.jpg	certain
Bartol St.	F 20	2026-09-18 11.29.51.jpg	certain
Bauchet St.	L 11	2026-09-18 11.29.51.jpg	probable
Bandera St.	K 23	2026-09-18 11.29.51.jpg	probable
Baxter St.	J 6	2026-09-18 11.26.23.jpg	certain
Bay St.	J 16	2026-09-18 11.29.51.jpg	certain
Beacon St.	F 13	2026-09-18 11.29.51.jpg	certain
Beale St.	M 10	2026-09-18 11.29.51.jpg	certain
Beaudry Ave.	J 10	2026-09-18 11.26.23.jpg	certain
Beaver Ave.	N 18	2026-09-18 11.26.23.jpg	certain
Beech St.	O 6	2026-09-18 11.26.23.jpg	certain
Bell St.	P 15	2026-09-18 11.26.23.jpg	certain
Bellevue Ave.	F 8	2026-09-18 11.26.23.jpg	certain
Belmont Ave.	H 10	2026-09-18 11.26.23.jpg	certain
Belvedere	F 6	2026-09-18 11.29.51.jpg	certain
Belmont Ave.	H 10	2026-09-18 11.29.51.jpg	certain
Benton Boulevard	E 11	2026-09-18 11.29.51.jpg	certain
Benjamin	L 12	2026-09-18 11.29.51.jpg	certain
Berendo St.	D 13	2026-09-18 11.29.51.jpg	certain
Berkeley Ave.	H 7	2026-09-18 11.29.51.jpg	certain
Bernardo St.	L 10	2026-09-18 11.29.51.jpg	certain
Bigby St.	P 11	2026-09-18 11.29.51.jpg	certain
Birch St.	K 16	2026-09-18 11.29.51.jpg	certain
Bird St.	P 13	2026-09-18 11.29.51.jpg	certain
Bishop Road	L 10	2026-09-18 11.29.51.jpg	certain
Bixel St.	H 12	2026-09-18 11.29.51.jpg	certain
Blaine St.	G 13	2026-09-18 11.29.51.jpg	certain
Bloom St.	M 10	2026-09-18 11.29.51.jpg	certain
Bluff St.	F 11	2026-09-18 11.29.51.jpg	certain
Bolsa	H 11	2026-09-18 11.29.51.jpg	certain
Bonanza St.	F 19	2026-09-18 11.29.51.jpg	certain
Bond St.	G 14	2026-09-18 11.29.51.jpg	certain
Bonita Ave.	C 15	2026-09-18 11.29.51.jpg	certain
Bonnie Brae St.	F 13	2026-09-18 11.29.51.jpg	certain
Bonsallo Ave.	F 16	2026-09-18 11.29.51.jpg	certain
Booth St.	M 3	2026-09-18 11.29.51.jpg	certain
Boston St.	J 11	2026-09-18 11.29.51.jpg	certain
Bautista Ave.	O 10	2026-09-18 11.29.51.jpg	certain
Boulder St.	P 13	2026-09-18 11.29.51.jpg	certain
Bouett St.	L 8	2026-09-18 11.29.31.jpg	probable
Boyd St.	K 13	2026-09-18 11.29.31.jpg	certain
Boyle Ave.	N 16	2026-09-18 11.29.31.jpg	certain
Boylston St.	I 12	2026-09-18 11.29.31.jpg	certain
Branch St.	M 3	2026-09-18 11.29.31.jpg	certain
Breed St.	P 12	2026-09-18 11.29.31.jpg	certain
Brent St.	I 10	2026-09-18 11.39.47.jpg	certain
Bridge St.	N 12	2026-09-18 11.39.47.jpg	certain
Brighton Ave.	B 17	2026-09-18 11.39.47.jpg	certain
Britannia St.	P 12	2026-09-18 11.39.47.jpg	certain
Broadway	I 14	2026-09-18 11.39.47.jpg	certain
Brook	I 11	2026-09-18 11.39.47.jpg	certain
Brooks Ave.	L 8	2026-09-18 11.29.31.jpg	certain
Brooklyn Ave.	O 13	2026-09-18 11.29.31.jpg	certain
Bruno St.	L 11	2026-09-18 11.29.31.jpg	certain
Bryan St.	G 8	2026-09-18 11.29.31.jpg	certain
Buchanan	L 3	2026-09-18 11.29.31.jpg	certain
Buena Vista St.	L 10	2026-09-18 11.29.31.jpg	certain
Budlong Ave.	C 15	2026-09-18 11.29.31.jpg	probable
Bunkerhill Ave.	J 12	2026-09-18 11.29.31.jpg	probable
Burlington Ave.	G 13	2026-09-18 11.29.31.jpg	certain
Burtz	G 9	2026-09-18 11.29.31.jpg	certain
Bush St.	E 15	2026-09-18 11.29.31.jpg	certain
Butte St.	M 17	2026-09-18 11.29.31.jpg	certain
Byram St.	G 14	2026-09-18 11.29.31.jpg	certain
C St.	I 6	2026-09-18 11.29.31.jpg	certain
Cadina St.	K 23	2026-09-18 11.29.31.jpg	probable
Cahuenga St.	B 13	2026-09-18 11.29.31.jpg	certain
California St.	K 12	2026-09-18 11.29.31.jpg	certain
Calumet Ave.	I 10	2026-09-18 11.29.31.jpg	certain
Cambria St.	G 12	2026-09-18 11.29.31.jpg	certain
Cambridge St.	B 14	2026-09-18 11.29.31.jpg	certain
Camulos St.	O 16	2026-09-18 11.29.31.jpg	certain
Cardillo St.	I 9	2026-09-18 11.29.31.jpg	certain
Cardinal St.	N 10	2026-09-18 11.29.31.jpg	certain
Carlton St.	P 16	2026-09-18 11.29.31.jpg	certain
Carlota Boulevard	Q 4	2026-09-18 11.29.31.jpg	certain
Carmona St.	I 20	2026-09-18 11.29.31.jpg	certain
Carolina St.	L 14	2026-09-18 11.29.31.jpg	certain
Carondelet St.	F 11	2026-09-18 11.29.31.jpg	certain
Carr St.	H 15	2026-09-18 11.29.31.jpg	certain
Carillo St.	I 9	2026-09-18 11.29.31.jpg	certain
Carroll Ave.	I 9	2026-09-18 11.29.31.jpg	certain
Casnora St.	M 9	2026-09-18 11.29.31.jpg	probable
Casco St.	G 9	2026-09-18 11.29.31.jpg	certain
Castelar St.	K 11	2026-09-18 11.29.31.jpg	certain
Castle St.	H 6	2026-09-18 11.29.31.jpg	certain
Catalina St.	D 12	2026-09-18 11.29.31.jpg	certain
Cavetano St.	L 12	2026-09-18 11.29.31.jpg	certain
Cecilia St.	J 15	2026-09-18 11.29.31.jpg	certain
Cedar St.	O 6	2026-09-18 11.29.31.jpg	certain
Centennial St.	J 11	2026-09-18 11.26.23.jpg	certain
Center St.	L 13	2026-09-18 11.26.23.jpg	certain
Cemetery St.	K 10	2026-09-18 11.26.23.jpg	certain
Center Place	K 13	2026-09-18 11.26.23.jpg	certain
Central Ave.	K 15	2026-09-18 11.26.23.jpg	certain
Ceres Ave.	K 15	2026-09-18 11.26.23.jpg	certain
Cerro Gordo	J 16	2026-09-18 11.29.42.jpg	certain
Channing St.	L 16	2026-09-18 11.29.42.jpg	certain
Chapman St.	F 10	2026-09-18 11.29.42.jpg	certain
Charlotte St.	P 11	2026-09-18 11.29.42.jpg	certain
Chavez St.	L 11	2026-09-18 11.29.42.jpg	certain
Chavez Ravine Rd.	J 8	2026-09-18 11.29.42.jpg	certain
Cheesborough Lane	R 15	2026-09-18 11.29.42.jpg	certain
Chelsea St.	Q 11	2026-09-18 11.29.42.jpg	certain
Cheney St.	M 19	2026-09-18 11.29.42.jpg	certain
Cherry St.	F 15	2026-09-18 11.29.42.jpg	certain
Chester Pl.	F 16	2026-09-18 11.29.42.jpg	certain
Chester St.	D 14	2026-09-18 11.29.42.jpg	certain
Chicago St.	O 14	2026-09-18 11.29.42.jpg	certain
Childs St.	D 15	2026-09-18 11.29.42.jpg	certain
Church Ave.	B 14	2026-09-18 11.29.42.jpg	certain
