Santa Fe Avenue	58 pts in sheet	lat 34.03518..34.04251	lng -118.23266..-118.23015
Mateo Street	41 pts in sheet	lat 34.03468..34.04205	lng -118.23311..-118.23230
6th Street	26 pts in sheet	lat 34.03823..34.03851	lng -118.23389..-118.22805
4th Place	25 pts in sheet	lat 34.04118..34.04207	lng -118.23399..-118.23140
Jesse Street	16 pts in sheet	lat 34.03619..34.03645	lng -118.23248..-118.22921
Imperial Street	12 pts in sheet	lat 34.03515..34.03822	lng -118.23160..-118.23126
4th Street	12 pts in sheet	lat 34.04151..34.04179	lng -118.23214..-118.23096
Mesquit Street	11 pts in sheet	lat 34.03645..34.03821	lng -118.23049..-118.22921
Palmetto Street	11 pts in sheet	lat 34.04015..34.04042	lng -118.23418..-118.23076
Conway Place	6 pts in sheet	lat 34.03658..34.03667	lng -118.23372..-118.23253
Molino Street	6 pts in sheet	lat 34.04034..34.04214	lng -118.23400..-118.23369
Willow Street	5 pts in sheet	lat 34.03919..34.03936	lng -118.23281..-118.23063
Whittier Boulevard	4 pts in sheet	lat 34.03841..34.03846	lng -118.22805..-118.22738
Industrial Street	2 pts in sheet	lat 34.03571..34.03572	lng -118.23252..-118.23242
7th Street	2 pts in sheet	lat 34.03461..34.03462	lng -118.23298..-118.23278
